ticket_id,customer_id,created_date,issue_type,severity,resolution_time_hrs,resolved
TKT_0000060,CUST_000083,2023-06-08,Technical,Low,7.35,1
TKT_0000061,CUST_000089,2024-02-13,Content,Low,8.08,1
TKT_0000062,CUST_000091,2024-10-17,Content,Low,16.2,1
TKT_0000063,CUST_000091,2024-05-29,Technical,High,35.99,1
TKT_0000064,CUST_000093,2023-12-20,Billing,Medium,37.43,0
TKT_0000065,CUST_000095,2024-03-10,Technical,Medium,26.9,1
TKT_0000066,CUST_000099,2023-02-15,Billing,High,76.12,1
TKT_0000067,CUST_000100,2022-01-04,Billing,Low,5.13,1
TKT_0000068,CUST_000102,2022-11-17,Technical,Medium,22.5,1
TKT_0000069,CUST_000102,2024-06-15,Billing,Medium,33.62,1
TKT_0000070,CUST_000103,2024-07-24,Technical,Low,11.32,1
TKT_0000071,CUST_000104,2022-07-14,Technical,Low,5.91,1
TKT_0000072,CUST_000106,2023-08-29,Technical,Medium,27.56,1
TKT_0000073,CUST_000107,2023-09-23,Technical,High,59.06,1
TKT_0000074,CUST_000109,2024-09-02,Billing,Medium,30.36,0
TKT_0000075,CUST_000111,2023-02-21,Content,Medium,24.33,1
TKT_0000076,CUST_000114,2024-12-08,Billing,Medium,12.48,1
TKT_0000077,CUST_000115,2023-08-27,Content,Low,9.41,1
TKT_0000078,CUST_000116,2022-01-24,Content,Low,7.59,1
TKT_0000079,CUST_000119,2024-08-14,Technical,High,37.86,1
TKT_0000080,CUST_000122,2022-12-14,Technical,Low,7.39,1
TKT_0000081,CUST_000123,2023-12-23,Technical,Medium,20.96,0
TKT_0000082,CUST_000126,2022-05-24,Technical,High,72.99,1
TKT_0000083,CUST_000126,2023-03-28,Technical,Medium,27.4,1
TKT_0000084,CUST_000133,2024-08-01,Technical,Low,5.05,1
TKT_0000085,CUST_000134,2023-03-26,Technical,Medium,17.74,1
TKT_0000086,CUST_000136,2024-10-05,Content,Medium,31.22,1
TKT_0000087,CUST_000140,2022-09-08,Billing,Low,11.03,1
TKT_0000088,CUST_000144,2022-05-03,Billing,Low,5.39,1
TKT_0000089,CUST_000144,2023-11-29,Technical,High,38.8,1
TKT_0000090,CUST_000146,2023-07-11,Content,Low,8.36,1
TKT_0000091,CUST_000149,2023-01-08,Billing,Low,12.97,1
TKT_0000092,CUST_000150,2022-06-16,Technical,Medium,19.22,1
TKT_0000093,CUST_000150,2022-03-30,Technical,Low,8.03,1
TKT_0000094,CUST_000151,2022-05-18,Technical,Medium,27.24,1
TKT_0000095,CUST_000151,2023-10-27,Content,High,63.91,0
TKT_0000096,CUST_000153,2024-01-06,Billing,High,46.76,1
TKT_0000097,CUST_000154,2022-04-01,Technical,Medium,30.5,0
TKT_0000098,CUST_000155,2022-08-22,Billing,Low,5.69,1
TKT_0000099,CUST_000157,2022-04-08,Technical,Low,13.3,1
TKT_0000100,CUST_000157,2024-12-16,Billing,Low,9.39,1
TKT_0000101,CUST_000158,2022-09-04,Content,Medium,19.42,1
TKT_0000102,CUST_000158,2024-07-12,Technical,Low,10.96,1
TKT_0000103,CUST_000159,2024-09-24,Technical,Low,7.75,1
TKT_0000104,CUST_000159,2023-12-03,Technical,Low,3.54,0
TKT_0000105,CUST_000160,2022-09-24,Content,Medium,25.23,1
TKT_0000106,CUST_000161,2022-10-18,Billing,Low,6.43,1
TKT_0000107,CUST_000162,2022-09-25,Content,Low,6.85,1
TKT_0000108,CUST_000162,2023-11-24,Content,Low,8.8,1
TKT_0000109,CUST_000162,2024-08-28,Billing,High,53.76,1
TKT_0000110,CUST_000163,2024-09-06,Content,Low,9.12,1
TKT_0000111,CUST_000164,2024-11-22,Technical,Medium,25.84,1
TKT_0000112,CUST_000165,2023-04-05,Content,Medium,25.58,1
TKT_0000113,CUST_000166,2022-11-27,Technical,Medium,34.84,1
TKT_0000114,CUST_000169,2023-09-23,Technical,Low,10.96,0
TKT_0000115,CUST_000174,2022-02-17,Technical,Low,9.14,1
TKT_0000116,CUST_000177,2024-12-10,Technical,Medium,24.11,1
TKT_0000117,CUST_000177,2024-03-26,Billing,Medium,24.6,1
TKT_0000118,CUST_000178,2023-08-26,Billing,High,62.34,1
TKT_0000119,CUST_000185,2022-01-12,Billing,Low,7.87,1
TKT_0000120,CUST_000186,2022-02-27,Technical,Low,13.19,1
TKT_0000121,CUST_000187,2023-12-11,Technical,Medium,25.1,0
TKT_0000122,CUST_000190,2022-03-12,Content,Low,9.72,1
TKT_0000123,CUST_000192,2024-08-18,Technical,Medium,30.03,1
TKT_0000124,CUST_000194,2024-08-02,Billing,Low,12.48,1
TKT_0000125,CUST_000194,2022-10-03,Content,Low,3.1,1
TKT_0000126,CUST_000198,2023-09-24,Billing,Low,5.61,0
TKT_0000127,CUST_000199,2022-03-18,Content,Low,15.01,1
TKT_0000128,CUST_000200,2022-06-04,Billing,Low,9.11,1
TKT_0000129,CUST_000201,2024-05-02,Technical,High,58.41,1
TKT_0000130,CUST_000201,2023-08-08,Technical,Low,7.24,1
TKT_0000131,CUST_000204,2022-01-07,Billing,Low,12.09,1
TKT_0000132,CUST_000204,2022-07-31,Billing,High,51.97,1
TKT_0000133,CUST_000205,2023-09-02,Content,Medium,21.36,1
TKT_0000134,CUST_000205,2022-10-23,Billing,Medium,28.82,0
TKT_0000135,CUST_000206,2022-06-19,Billing,Low,11.16,1
TKT_0000136,CUST_000206,2024-09-21,Content,Low,4.82,1
TKT_0000137,CUST_000206,2024-12-05,Billing,Medium,34.03,1
TKT_0000138,CUST_000212,2024-11-01,Technical,Low,4.61,0
TKT_0000139,CUST_000214,2024-07-20,Technical,High,66.77,1
TKT_0000140,CUST_000218,2023-02-11,Billing,High,45.42,1
TKT_0000141,CUST_000218,2022-05-13,Technical,Low,11.13,1
TKT_0000142,CUST_000218,2022-12-02,Technical,Low,5.47,1
TKT_0000143,CUST_000221,2022-10-02,Technical,Medium,29.06,1
TKT_0000144,CUST_000224,2023-02-28,Content,Low,10.47,1
TKT_0000145,CUST_000230,2023-12-08,Technical,Medium,19.78,1
TKT_0000146,CUST_000231,2024-09-24,Content,Medium,38.3,1
TKT_0000147,CUST_000233,2024-01-03,Technical,Medium,19.89,1
TKT_0000148,CUST_000236,2023-03-30,Technical,Low,8.75,1
TKT_0000149,CUST_000239,2022-12-08,Content,Medium,22.14,1
TKT_0000150,CUST_000244,2022-07-14,Content,Medium,13.33,0
TKT_0000151,CUST_000244,2022-02-13,Content,Low,12.12,1
TKT_0000152,CUST_000246,2024-06-17,Technical,Low,9.55,1
TKT_0000153,CUST_000248,2024-09-29,Technical,Medium,21.06,1
TKT_0000154,CUST_000250,2022-04-25,Content,High,45.75,1
TKT_0000155,CUST_000250,2024-06-29,Technical,Medium,11.41,1
TKT_0000156,CUST_000250,2022-12-23,Billing,Medium,13.24,1
TKT_0000157,CUST_000250,2022-08-16,Billing,Low,7.0,1
TKT_0000158,CUST_000257,2022-04-03,Technical,Medium,21.9,1
TKT_0000159,CUST_000258,2024-07-23,Content,Medium,32.6,1
TKT_0000160,CUST_000258,2022-12-30,Billing,Low,2.26,1
TKT_0000161,CUST_000260,2023-06-27,Billing,Medium,24.86,1
TKT_0000162,CUST_000261,2022-12-18,Content,Medium,15.75,1
TKT_0000163,CUST_000261,2023-12-21,Content,Medium,37.11,1
TKT_0000164,CUST_000264,2022-06-01,Billing,High,14.81,1
TKT_0000165,CUST_000266,2024-07-14,Technical,Low,14.2,1
TKT_0000166,CUST_000270,2022-10-08,Billing,Low,7.04,1
TKT_0000167,CUST_000271,2023-04-21,Technical,High,33.5,1
TKT_0000168,CUST_000271,2024-07-11,Content,Low,6.21,1
TKT_0000169,CUST_000271,2022-09-13,Content,Low,9.1,1
TKT_0000170,CUST_000273,2023-10-01,Billing,Low,8.27,1
TKT_0000171,CUST_000275,2023-08-06,Billing,Low,7.26,0
TKT_0000172,CUST_000276,2023-07-29,Technical,Low,3.76,1
TKT_0000173,CUST_000278,2024-08-11,Billing,Medium,38.53,1
TKT_0000174,CUST_000278,2022-06-27,Content,Medium,27.87,1
TKT_0000175,CUST_000279,2022-11-14,Technical,Low,8.93,1
TKT_0000176,CUST_000281,2024-03-17,Billing,Low,3.79,1
TKT_0000177,CUST_000289,2023-01-12,Content,High,49.51,0
TKT_0000178,CUST_000290,2022-05-31,Content,Low,0.5,1
TKT_0000179,CUST_000292,2024-09-06,Content,Low,3.08,1
TKT_0000180,CUST_000294,2023-04-22,Content,Medium,21.84,1
TKT_0000181,CUST_000295,2023-09-02,Technical,Medium,24.74,1
TKT_0000182,CUST_000298,2023-04-12,Technical,Medium,32.25,0
TKT_0000183,CUST_000304,2023-09-27,Technical,Low,9.12,1
TKT_0000184,CUST_000305,2023-02-14,Billing,Low,3.21,1
TKT_0000185,CUST_000310,2023-11-01,Technical,Low,10.68,1
TKT_0000186,CUST_000311,2022-06-15,Technical,Low,8.37,1
TKT_0000187,CUST_000313,2022-11-23,Technical,Low,11.09,1
TKT_0000188,CUST_000315,2024-08-03,Technical,Low,8.65,1
TKT_0000189,CUST_000315,2023-10-17,Billing,Low,8.69,1
TKT_0000190,CUST_000318,2023-11-05,Billing,Low,10.19,1
TKT_0000191,CUST_000321,2024-01-11,Technical,High,42.3,1
TKT_0000192,CUST_000323,2023-04-12,Technical,High,25.21,1
TKT_0000193,CUST_000326,2023-09-24,Billing,Low,12.93,1
TKT_0000194,CUST_000326,2022-12-04,Content,Medium,26.85,1
TKT_0000195,CUST_000330,2024-10-20,Technical,Low,6.3,1
TKT_0000196,CUST_000337,2023-07-25,Content,Low,5.48,1
TKT_0000197,CUST_000337,2022-12-28,Technical,High,92.16,1
TKT_0000198,CUST_000338,2024-01-11,Technical,Low,12.92,1
TKT_0000199,CUST_000338,2023-10-18,Technical,Medium,18.56,1
TKT_0000200,CUST_000343,2022-12-24,Billing,Medium,25.23,1
TKT_0000201,CUST_000345,2024-05-27,Billing,Medium,16.74,1
TKT_0000202,CUST_000349,2024-11-01,Content,Medium,22.2,1
TKT_0000203,CUST_000352,2022-02-20,Content,Low,11.36,1
TKT_0000204,CUST_000356,2023-09-30,Technical,Low,5.43,1
TKT_0000205,CUST_000357,2023-04-23,Content,Medium,33.72,1
TKT_0000206,CUST_000357,2022-05-03,Technical,Low,9.64,1
TKT_0000207,CUST_000361,2022-11-27,Billing,Low,13.87,1
TKT_0000208,CUST_000362,2023-06-17,Billing,Low,10.08,1
TKT_0000209,CUST_000367,2022-04-24,Billing,Low,15.38,1
TKT_0000210,CUST_000369,2024-05-10,Billing,Low,7.53,0
TKT_0000211,CUST_000374,2024-09-26,Billing,Medium,29.93,1
TKT_0000212,CUST_000376,2022-03-17,Billing,Low,4.57,1
TKT_0000213,CUST_000376,2023-07-28,Billing,Medium,25.22,1
TKT_0000214,CUST_000376,2024-02-20,Technical,Medium,26.4,1
TKT_0000215,CUST_000378,2023-07-04,Billing,Low,9.29,1
TKT_0000216,CUST_000378,2024-03-10,Technical,Medium,19.4,1
TKT_0000217,CUST_000379,2022-10-18,Billing,Low,9.76,0
TKT_0000218,CUST_000379,2024-01-12,Technical,Low,11.75,1
TKT_0000219,CUST_000384,2024-08-25,Technical,Medium,18.46,1
TKT_0000220,CUST_000386,2024-01-20,Billing,Low,8.38,1
TKT_0000221,CUST_000387,2024-08-24,Technical,Low,7.65,1
TKT_0000222,CUST_000388,2022-05-23,Content,Medium,39.1,1
TKT_0000223,CUST_000389,2024-09-22,Content,Medium,29.72,1
TKT_0000224,CUST_000389,2022-02-03,Technical,High,61.73,1
TKT_0000225,CUST_000393,2022-08-16,Billing,Low,14.31,0
TKT_0000226,CUST_000393,2022-12-13,Content,Medium,16.33,1
TKT_0000227,CUST_000396,2024-10-04,Technical,Low,8.52,1
TKT_0000228,CUST_000397,2024-08-27,Billing,Low,8.82,1
TKT_0000229,CUST_000402,2023-07-12,Technical,Low,8.57,1
TKT_0000230,CUST_000402,2024-09-02,Technical,Low,11.41,1
TKT_0000231,CUST_000403,2023-07-30,Technical,High,23.7,1
TKT_0000232,CUST_000404,2024-09-16,Billing,Low,9.07,1
TKT_0000233,CUST_000404,2024-10-29,Billing,Medium,20.92,1
TKT_0000234,CUST_000406,2022-01-29,Billing,Low,2.16,1
TKT_0000235,CUST_000407,2024-02-20,Content,Low,8.15,1
TKT_0000236,CUST_000410,2024-09-21,Technical,Low,10.8,0
TKT_0000237,CUST_000412,2023-06-18,Content,High,31.11,1
TKT_0000238,CUST_000413,2023-03-10,Billing,Low,6.74,1
TKT_0000239,CUST_000414,2022-05-31,Technical,Medium,23.18,1
TKT_0000240,CUST_000417,2024-05-14,Billing,High,35.91,1
TKT_0000241,CUST_000418,2023-03-26,Billing,Medium,33.66,1
TKT_0000242,CUST_000418,2023-09-11,Content,Medium,20.5,1
TKT_0000243,CUST_000418,2024-11-10,Billing,High,40.23,1
TKT_0000244,CUST_000421,2023-11-24,Technical,Medium,30.28,1
TKT_0000245,CUST_000421,2023-04-26,Billing,Medium,19.31,1
TKT_0000246,CUST_000421,2023-08-05,Billing,Low,11.72,1
TKT_0000247,CUST_000422,2024-02-05,Billing,Low,12.59,1
TKT_0000248,CUST_000423,2022-01-20,Billing,Medium,25.32,1
TKT_0000249,CUST_000426,2022-05-06,Billing,Medium,14.0,1
TKT_0000250,CUST_000428,2024-01-23,Technical,Low,6.19,1
TKT_0000251,CUST_000428,2023-08-09,Billing,Low,2.08,1
TKT_0000252,CUST_000430,2023-06-22,Technical,Low,9.59,1
TKT_0000253,CUST_000430,2022-10-31,Technical,High,23.34,1
TKT_0000254,CUST_000435,2023-07-24,Content,Medium,22.17,1
TKT_0000255,CUST_000435,2024-01-30,Billing,Medium,20.62,1
TKT_0000256,CUST_000435,2023-08-10,Content,Low,11.75,0
TKT_0000257,CUST_000436,2024-07-22,Billing,High,32.92,1
TKT_0000258,CUST_000437,2023-09-27,Billing,Medium,22.19,1
TKT_0000259,CUST_000437,2022-09-01,Billing,Medium,18.79,1
TKT_0000260,CUST_000437,2024-09-30,Technical,High,37.61,1
TKT_0000261,CUST_000439,2022-07-17,Content,High,35.14,1
TKT_0000262,CUST_000442,2022-02-05,Content,Medium,21.38,1
TKT_0000263,CUST_000446,2024-10-02,Technical,Medium,22.83,1
TKT_0000264,CUST_000451,2023-03-22,Content,Medium,22.65,1
TKT_0000265,CUST_000455,2023-11-07,Technical,High,55.48,1
TKT_0000266,CUST_000455,2023-08-09,Billing,Medium,11.37,1
TKT_0000267,CUST_000456,2022-01-01,Content,Medium,19.47,1
TKT_0000268,CUST_000456,2023-06-25,Billing,Medium,27.19,1
TKT_0000269,CUST_000457,2023-12-07,Billing,Low,7.96,1
TKT_0000270,CUST_000458,2022-07-30,Content,Low,8.9,1
TKT_0000271,CUST_000460,2024-06-18,Billing,Medium,16.98,1
TKT_0000272,CUST_000461,2024-11-14,Content,Medium,20.38,1
TKT_0000273,CUST_000465,2024-01-11,Billing,Low,9.26,1
TKT_0000274,CUST_000465,2024-09-01,Content,Low,3.87,0
TKT_0000275,CUST_000466,2024-03-25,Technical,Low,6.27,1
TKT_0000276,CUST_000467,2024-07-14,Billing,Medium,20.65,1
TKT_0000277,CUST_000468,2023-02-06,Content,Medium,11.49,1
TKT_0000278,CUST_000470,2022-07-11,Billing,Low,12.24,1
TKT_0000279,CUST_000470,2024-01-03,Content,Low,7.32,1
TKT_0000280,CUST_000473,2022-08-14,Technical,High,63.06,1
TKT_0000281,CUST_000474,2024-05-28,Content,Low,4.32,1
TKT_0000282,CUST_000474,2023-09-13,Billing,Medium,17.6,1
TKT_0000283,CUST_000475,2024-08-09,Technical,Low,9.33,1
TKT_0000284,CUST_000476,2024-12-31,Technical,Medium,23.7,1
TKT_0000285,CUST_000482,2022-04-17,Content,Medium,30.86,1
TKT_0000286,CUST_000482,2024-08-29,Technical,Medium,30.03,1
TKT_0000287,CUST_000484,2022-06-22,Billing,Medium,21.82,1
TKT_0000288,CUST_000484,2023-03-05,Billing,Medium,31.08,1
TKT_0000289,CUST_000485,2023-10-04,Content,High,39.94,1
TKT_0000290,CUST_000486,2023-07-06,Technical,Low,10.61,1
TKT_0000291,CUST_000491,2023-01-05,Technical,Low,6.92,1
TKT_0000292,CUST_000491,2024-11-19,Billing,Low,0.5,1
TKT_0000293,CUST_000494,2023-10-26,Technical,High,53.61,1
TKT_0000294,CUST_000495,2024-06-27,Technical,Low,14.89,1
TKT_0000295,CUST_000495,2023-09-06,Technical,Low,8.14,1
TKT_0000296,CUST_000496,2022-10-24,Technical,Medium,23.89,1
TKT_0000297,CUST_000504,2022-12-02,Billing,High,19.63,1
TKT_0000298,CUST_000505,2024-05-04,Billing,Low,2.72,1
TKT_0000299,CUST_000505,2022-07-31,Technical,Low,4.7,1
TKT_0000300,CUST_000510,2022-01-14,Technical,High,37.62,1
TKT_0000301,CUST_000510,2024-03-14,Technical,Medium,28.16,1
TKT_0000302,CUST_000511,2023-10-29,Billing,Medium,12.72,1
TKT_0000303,CUST_000511,2023-01-06,Content,Medium,21.27,1
TKT_0000304,CUST_000516,2022-11-03,Technical,Low,8.86,1
TKT_0000305,CUST_000516,2024-02-16,Technical,Medium,31.16,1
TKT_0000306,CUST_000523,2023-12-03,Technical,Medium,37.19,1
TKT_0000307,CUST_000525,2024-05-19,Billing,Low,13.45,1
TKT_0000308,CUST_000528,2022-07-21,Technical,Medium,39.78,1
TKT_0000309,CUST_000534,2023-09-07,Content,Low,8.24,1
TKT_0000310,CUST_000535,2023-09-30,Technical,Low,9.69,1
TKT_0000311,CUST_000542,2023-06-30,Billing,Low,13.76,1
TKT_0000312,CUST_000543,2022-03-18,Technical,Low,8.17,0
TKT_0000313,CUST_000544,2024-03-30,Billing,Medium,24.73,1
TKT_0000314,CUST_000544,2022-10-12,Technical,Low,8.7,1
TKT_0000315,CUST_000545,2023-08-28,Technical,Low,5.14,1
TKT_0000316,CUST_000545,2022-11-18,Billing,Low,7.79,1
TKT_0000317,CUST_000551,2023-01-05,Technical,Medium,31.36,1
TKT_0000318,CUST_000552,2024-05-05,Billing,Medium,30.87,1
TKT_0000319,CUST_000553,2023-09-16,Technical,Low,11.06,1
TKT_0000320,CUST_000555,2022-11-05,Billing,Low,6.9,1
TKT_0000321,CUST_000556,2024-05-20,Technical,Low,14.56,1
TKT_0000322,CUST_000557,2023-10-06,Technical,Medium,18.7,1
TKT_0000323,CUST_000558,2024-04-01,Billing,Medium,16.27,1
TKT_0000324,CUST_000559,2023-01-27,Technical,Low,10.73,0
TKT_0000325,CUST_000559,2022-01-25,Billing,Low,5.96,1
TKT_0000326,CUST_000560,2024-03-06,Technical,Low,10.91,1
TKT_0000327,CUST_000560,2023-06-12,Technical,Low,4.69,1
TKT_0000328,CUST_000561,2023-07-11,Content,Medium,45.15,1
TKT_0000329,CUST_000561,2023-03-23,Content,Medium,38.04,1
TKT_0000330,CUST_000562,2024-03-06,Billing,High,57.18,1
TKT_0000331,CUST_000563,2024-10-28,Content,Low,6.12,1
TKT_0000332,CUST_000564,2022-12-17,Billing,Low,9.7,1
TKT_0000333,CUST_000565,2022-11-15,Technical,Low,11.41,1
TKT_0000334,CUST_000567,2024-08-13,Technical,Low,9.57,1
TKT_0000335,CUST_000570,2022-01-09,Technical,Low,12.58,1
TKT_0000336,CUST_000570,2023-01-27,Technical,Low,7.66,1
TKT_0000337,CUST_000570,2023-12-15,Billing,High,26.37,1
TKT_0000338,CUST_000572,2023-08-23,Content,Low,8.21,1
TKT_0000339,CUST_000573,2024-07-18,Technical,Low,8.52,1
TKT_0000340,CUST_000574,2022-06-26,Billing,Low,11.23,1
TKT_0000341,CUST_000574,2024-05-21,Content,Low,8.45,1
TKT_0000342,CUST_000575,2022-08-04,Billing,Low,6.31,1
TKT_0000343,CUST_000577,2024-11-19,Technical,Medium,36.92,1
TKT_0000344,CUST_000578,2022-07-18,Technical,Low,6.24,1
TKT_0000345,CUST_000584,2022-03-16,Technical,High,55.26,1
TKT_0000346,CUST_000585,2022-12-26,Technical,Medium,19.17,1
TKT_0000347,CUST_000585,2022-03-07,Billing,Medium,22.65,1
TKT_0000348,CUST_000590,2022-11-22,Billing,Medium,22.84,1
TKT_0000349,CUST_000592,2022-12-07,Billing,Low,12.35,1
TKT_0000350,CUST_000596,2024-12-15,Billing,Low,11.22,1
TKT_0000351,CUST_000597,2023-04-24,Technical,High,36.2,1
TKT_0000352,CUST_000598,2024-11-28,Content,High,50.39,1
TKT_0000353,CUST_000604,2023-10-10,Technical,Medium,16.71,1
TKT_0000354,CUST_000611,2024-07-27,Billing,High,30.36,1
TKT_0000355,CUST_000614,2023-12-09,Content,Low,6.6,1
TKT_0000356,CUST_000615,2023-02-14,Technical,Low,5.02,1
TKT_0000357,CUST_000615,2023-06-10,Technical,Medium,23.06,1
TKT_0000358,CUST_000620,2023-05-12,Technical,High,42.46,1
TKT_0000359,CUST_000623,2024-02-14,Billing,Medium,21.75,0
TKT_0000360,CUST_000627,2024-04-17,Billing,Low,18.44,1
TKT_0000361,CUST_000630,2024-05-06,Technical,Low,11.23,1
TKT_0000362,CUST_000630,2023-09-30,Content,Low,11.6,1
TKT_0000363,CUST_000633,2022-06-04,Technical,Low,2.97,1
TKT_0000364,CUST_000633,2023-08-15,Billing,Medium,18.35,1
TKT_0000365,CUST_000634,2023-06-22,Billing,Low,12.06,1
TKT_0000366,CUST_000636,2022-12-10,Technical,Low,6.04,1
TKT_0000367,CUST_000639,2022-07-22,Billing,Medium,26.56,1
TKT_0000368,CUST_000639,2023-10-12,Technical,Medium,27.29,1
TKT_0000369,CUST_000639,2024-05-12,Billing,High,73.01,1
TKT_0000370,CUST_000642,2024-02-01,Technical,Low,9.86,1
TKT_0000371,CUST_000645,2023-02-04,Technical,Medium,37.33,1
TKT_0000372,CUST_000645,2022-05-19,Billing,Low,8.52,1
TKT_0000373,CUST_000648,2024-11-24,Technical,Medium,41.33,1
TKT_0000374,CUST_000649,2023-02-19,Technical,Low,7.24,1
TKT_0000375,CUST_000655,2023-12-27,Billing,Low,10.38,1
TKT_0000376,CUST_000655,2023-07-19,Technical,High,63.5,1
TKT_0000377,CUST_000655,2023-11-06,Billing,High,40.03,1
TKT_0000378,CUST_000658,2022-11-13,Technical,Medium,25.19,1
TKT_0000379,CUST_000659,2024-07-08,Technical,Medium,29.2,1
TKT_0000380,CUST_000661,2024-03-16,Billing,High,78.16,1
TKT_0000381,CUST_000661,2024-01-22,Technical,Low,5.63,1
TKT_0000382,CUST_000664,2024-04-21,Billing,Low,7.37,1
TKT_0000383,CUST_000665,2023-07-02,Content,Medium,21.96,1
TKT_0000384,CUST_000666,2024-04-08,Technical,Low,11.57,1
TKT_0000385,CUST_000666,2024-07-24,Content,Low,7.32,1
TKT_0000386,CUST_000668,2022-02-15,Technical,Low,6.36,0
TKT_0000387,CUST_000668,2024-04-04,Technical,High,46.55,1
TKT_0000388,CUST_000669,2024-04-10,Technical,Low,10.28,1
TKT_0000389,CUST_000672,2023-01-11,Content,Low,7.5,1
TKT_0000390,CUST_000673,2024-02-20,Technical,Low,7.22,1
TKT_0000391,CUST_000674,2022-09-25,Content,Low,13.08,1
TKT_0000392,CUST_000676,2023-08-02,Technical,Low,0.56,1
TKT_0000393,CUST_000681,2024-11-18,Content,Medium,13.05,1
TKT_0000394,CUST_000681,2023-06-08,Billing,Low,4.17,1
TKT_0000395,CUST_000684,2024-01-30,Billing,Low,6.8,1
TKT_0000396,CUST_000684,2022-02-28,Content,Low,8.46,1
TKT_0000397,CUST_000684,2024-10-17,Technical,Low,7.13,1
TKT_0000398,CUST_000684,2024-09-12,Technical,Low,11.51,1
